event_id	branch_id	pre_check_text	success_text	failure_text	card_text_success	card_text_failure
3001	1	周会中提到了新项目的技术选型问题，投影仪展示着几种可能的技术方案对比。会议室里弥漫着一种微妙的紧张感，不同技术偏好的同事们小声交流着各自的看法。作为其中的一员，你的意见可能会影响最终决策。	"你简要分析了各方案的优缺点，语调平稳，不偏向任何一方。你的发言基于事实和经验，没有过多个人色彩，也不试图左右决策。
讨论在专业的氛围中继续，各种观点被记录下来供后续评估。没有即时的结论，这很常见——技术选型往往需要更多后续讨论。周会继续进行着其他议题，这只是漫长工作日中的一个小片段。"	你试图陈述自己对技术选型的见解，却在关键细节上卡壳了。你的语句变得紊乱，论点缺乏连贯性，甚至引用了一些已被业内证明有误的案例。\n\n一阵尴尬的沉默笼罩着会议室。同事们交换着意味深长的眼神，仿佛确认了某种预判。\n\n'我们还是继续下一个议题吧。'主持人轻描淡写地说道。\n\n会议继续，但你能感觉到自己的专业形象在同事心中黯淡了几分。这种失败看似微不足道，但在职场的微妙生态中，一次无效表达就足以改变他人对你的评判。		
3002	2	桌面上堆积的工作文件如同一片微型沙漠，每一页都包含着细微的陷阱。办公室里，同事A假装打电话正溜去茶水间，同事B的屏幕上游戏窗口随时准备最小化。领导的脚步声是最好的提醒——所有人的姿势都会在一瞬间变得专业。你捧起咖啡杯，思索着该如何度过这平凡的一天。	你的摸鱼技术炉火纯青——看似专注地盯着屏幕，实则刷着隐蔽的社交媒体；键盘敲击声响亮而规律，写下的却是给朋友的八卦消息。\n\n当领导突然出现在你背后，你行云流水般切换窗口，展示出一份条理分明的工作文档。领导满意地点头离开，而你嘴角微微上扬。这不是欺骗，这是一门错综复杂的生存艺术。到下班时，工作神奇地全部完成了。	你试图浏览社交媒体的手指僵在键盘上——领导不知何时站在了你身后。慌乱中，你不小心关闭了工作文档而非游戏界面。\n\n'这就是你所谓的加急项目？'领导的声音平静得可怕。周围的空气凝固了，同事们假装专注工作，实则竖起了八卦的耳朵。你的脸如同办公室的红色警示灯，亮得刺眼。		
3003	3	公司内网的搜索框成了你无聊时刻的秘密朋友。每次输入看似无关的关键词，总能挖出令人惊讶的内容——过时的制度文件、已离职同事的遗留文档，甚至是高管们语焉不详的会议纪要。这些零散的信息碎片，或许可以拼凑出一个有趣的拼图。	无意间发现的信息往来成了你的宝藏。你像位数字考古学家，顺藤摸瓜挖掘出公司的隐藏规则和漏洞。这些信息像拼图般在你脑海中逐渐成形，你将关键信息巧妙记录在一个无害的Excel表格中。这种来路不明的专业知识如同囤积的粮食，总有派上用场的一天。至少现在，你已经比大多数同事掌握了更多的公司运作逻辑。	过度的好奇心让你点开了被隐藏的文件夹。随着屏幕上信息的展开，你的心跳加速——这是公司即将裁员的名单和计划书。\n\n正当你试图截图保存时，系统管理员的消息弹出："检测到未授权访问。"你急忙断开连接，随后是一阵令人窒息的沉默。		
3004	4	茶水间是办公室信息交流的中心枢纽。早晨，你发现几位同事聚集在那里，声音刻意压低。讨论声随着你的接近而戛然而止，几双眼睛若有所思地打量着你。空气中弥漫着一种微妙的紧张感，仿佛某个重要的秘密正悬在半空中，等待被捕捉。你端起杯子，犹豫着是该装作无意间加入，还是直接询问他们在讨论什么。	你熟练地融入谈话，先是分享了一个无关紧要的小故事，然后不动声色地转向他们刚才的话题。同事们的防备逐渐消融，八卦信息如同温热的咖啡般自然流淌而出—公司内部的人事变动、未公开的项目消息、甚至某些高层的私人关系。\n\n你只是微笑着聆听，不时点头或发出恰到好处的惊叹。离开茶水间时，你已经收获了一箩筐的内部情报，而他们甚至没意识到自己透露了这么多。在信息为王的职场，这种无形的情报网往往比正式会议更有价值。	你试图用一个尴尬的笑话打开局面，却只收获了几声礼貌的假笑。当你直接询问他们在聊什么时，谈话气氛彻底冻结。\n\n"没什么特别的，就是周末的事。"一位同事敷衍道，随即话题转向了天气。你手捧着咖啡站在那里，感觉自己像个局外人。离开时，你听见身后重新响起的窃窃私语，和几声压抑的轻笑。		
3005	5	一天的工作即将结束，同事们陆续收拾东西准备离开。电梯间传来最后几组同事的笑声和道别声，有人邀请你一起去附近新开的餐厅，有人则匆匆赶去接孩子。你望着自己桌面上零散的资料和便签，心中盘算着自己的选择。要不要留下来再多完成一些工作？这个选择完全在于你自己。	加班的寂静有一种奇妙的魔力——没有闲聊的干扰，没有电话铃声的打断，甚至连时间都像被拉长了一般。你的思维变得异常清晰，手指在键盘上的节奏仿佛有了自己的生命。\n\n当最后一个任务得到解决，你靠在椅背上，看着窗外已经布满星星的夜空。这座永不入眠的城市与你一样，仍在不知疲倦地运转着。	办公室的安静原本应该是提高效率的福音，但随着时间推移，这种安静反而变成了一种无形的压力。没有同事的交谈声，没有日常的嘈杂，甚至走廊尽头的灯光闪烁都变得令人不安。\n\n你发现自己的注意力无法集中，眼睛盯着屏幕，思绪却早已飘向远方。手机成了最大的诱惑，每隔几分钟就要查看一次。最终，你疲惫地关上电脑，发现自己浪费了整晚的时间却几乎没有任何有效产出。有时候，固执地延长工作时间并不等于提高生产力，反而可能是对时间最大的浪费。		
3006	6	体育馆会员卡上的有效期提醒你，这份年初充值的决心已经被搁置了大半年。阳光正好，周末的下午似乎在为你提供一个完美的锻炼时机。手机里的健身app依然保持着最后一次的训练记录，那个遥远的日期仿佛在无声地嘲笑着你的懈怠。健身包就在衣柜的角落，等待被拾起或继续被忽视。你站在门口，看着自己略显疲惫的面容和日渐松散的体态，内心天平正在微妙地摇摆着。	"体育馆太远了，路上就要花掉大半个下午"，你给自己找了个合理的借口。健身包被重新塞回衣柜，那个鼓起的轮廓像是一个无声的责备。你选择了一部电影，抱着零食窝在沙发上，试图用另一种方式填满这个空白的下午。电影结束时，窗外的天色已暗，而你除了获得短暂的消遣外，什么也没留下。那种隐约的负罪感如同阴影般滑过心头，让你不得不承诺自己"下个周末一定去健身"——一个你知道可能再次被打破的承诺，就像那些总是被推迟的自我提升计划。	"体育馆太远了，路上就要花掉大半个下午"，你给自己找了个合理的借口。健身包被重新塞回衣柜，那个鼓起的轮廓像是一个无声的责备。你选择了一部电影，抱着零食窝在沙发上，试图用另一种方式填满这个空白的下午。电影结束时，窗外的天色已暗，而你除了获得短暂的消遣外，什么也没留下。那种隐约的负罪感如同阴影般滑过心头，让你不得不承诺自己"下个周末一定去健身"——一个你知道可能再次被打破的承诺，就像那些总是被推迟的自我提升计划。		
3007	7	周末清晨，阳光透过百叶窗在书桌上画出条纹。你面前摊开着精心筛选的学习资料和一杯冒着热气的咖啡。便签上写着今日目标："掌握基础，完成一个小项目"。手机上的学习计划已将这一天切分成数个专注区块，看起来紧凑而充实。窗外的蓝天仿佛在召唤你出门，而床铺的余温依然诱人。你手指轻敲桌面，在"投资自我"和"稍后再说"之间犹豫。笔记本电脑的屏幕映出你纠结的表情，等待你按下开始键或是合上它。	第一个小时总是最难熬的。你强迫自己专注于学习材料，抵抗着分心的冲动。慢慢地，随着概念逐渐清晰，你发现自己进入了一种奇妙的心流状态。时间不再拖沓，而是如同清澈的溪流般流淌。午后，你开始动手实践，将理论转化为具体产出。当问题出现时，你不再像往常一样回避，而是将它们视为拼图的缺失部分。夕阳西下时，你望着屏幕上运行成功的小项目，一种久违的成就感油然而生。这个周末没有虚度，而是在你的技能宝库中刻下了一道实实在在的痕迹。明天的工作，似乎也有了新的切入点。	开始的一小时，你按计划认真钻研学习材料，却发现进度远比预期慢。"也许应该先看看视频教程？"你切换了学习方式，却在视频的背景音乐中渐渐放松了警惕。不知不觉中，你已经点开了推送的娱乐视频。"休息五分钟再继续"，你这样告诉自己，却在社交媒体的信息流中迷失了方向。当你再次看表，已是下午三点，计划中的实践环节变得遥不可及。"今天状态不佳，改天再战"，你合理化地说服自己。笔记本被合上，学习材料整齐地堆放在一旁，等待下一个可能永远不会到来的"最佳时机"。一种微妙的失落感悄然而生，却很快被即将开始的电影掩盖。		
3008	8	周末的午后，阳光透过窗帘缝隙洒在地板上，形成斑驳的光影。你翻看着手机里堆积如山的消息提醒，一种无形的压力如影随形。昨晚梦中惊醒后，那种说不清的焦虑感始终萦绕不去。友人曾提起城郊有座禅寺，据说能带来内心的宁静与希望。你打开地图，发现路程并不遥远。"迷信不过是心灵的安慰剂"，你一向如此告诉别人，但此刻，那个安慰剂的诱惑却前所未有地强烈。窗外的天空湛蓝如洗，似乎在无声地邀请着你走出这个被工作填满的公寓。	禅修中心坐落在一片竹林之中，远离城市的喧嚣。初到时，你对这一切持有怀疑和距离感，甚至在内心嘲笑那些看似过度投入的参与者。引导师的声音平静而不带感情，指导着呼吸的节奏和注意力的聚焦。起初，你的思绪如脱缰的野马般四处游走，工作的压力、人际的摩擦、未来的不确定性轮番登场。但随着时间流逝，那些纷乱的念头渐渐像沉淀的泥沙，落到意识的底层。短短几小时的体验并不能解决实际问题，但当你离开时，内心却多了一份难得的清明。回城的路上，你看到夕阳洒在高楼上的金光，突然意识到，也许真正的改变不在于外界环境，而在于如何看待它们的视角。	抵达禅修中心时，你已经对自己的决定产生了怀疑。周围人的一本正经让你感到格格不入，盘腿坐在蒲团上没多久，双腿就开始发麻。引导师柔和的指令在你听来如同催眠般虚无缥缈，闭上眼睛后，脑海中却依然盘旋着工作的难题和同事的面孔。你偷偷睁眼，看着时钟缓慢移动，心中只盼着这漫长的折磨快点结束。午休时你找了个借口提前离开，对自己浪费了半天时间感到懊恼。开车回城的路上，电台播放着急促的流行音乐，你不自觉地加大了音量，试图盖过内心那个嘲讽的声音："看吧，这种东西根本不适合你。"周末的尝试徒劳无功，而明天，那些未解决的问题依然会如期而至，连同那份未能获得安宁的失落感一起。		
2001	9	试用期考核表格上，最后一项"流程优化与创新"依然空白。茶水间里，你无意中听到几位老员工抱怨部门缺乏高效沟通机制，项目进度全靠私下追问。灵光一现——公司没有正式的周报制度，这会不会是你的机会？一份结构化的周报模板，既能展示你的工作，又能标榜"流程优化"。只是，众所周知，没人喜欢多填表格。手指在键盘上悬停，你犹豫着是推动这个"创新"，还是寻找其他更不招人烦的方式证明自己。	你选择了迂回战术。午餐时，你不经意地向主管提起："注意到团队成员常互相询问项目进度，是否可以尝试一种简化版周报，只需填三点：本周完成、下周计划和需要帮助？我可以先做一个示范。"你的周报简洁明了，突出了自己的贡献又不显得自夸。更巧妙的是，你主动汇总了大家的内容，为主管节省了大量时间。两周后，这个"轻量级信息共享机制"（你刻意避开了"周报"这个词）被主管在部门会议上表扬。	周一例会上，你信心满满地提出了"规范化周报制度"的建议，甚至准备了精美的PPT和复杂的表格模板。话音刚落，会议室里的空气仿佛凝固。同事们的表情从震惊到厌恶，最后定格在一种礼貌的冷漠上。主管微笑着说："感谢你的...主动性，但我们更注重实质而非形式。"。"离开会议室时，你听到有人低声说："幸好没让他通过，否则下一步就是日报了吧？"		
2002	10	项目启动两周了，你注意到与你同期入职的张晓总是在工作时间独自霸占小会议室。每次路过，都能看到他一个人对着电脑，神情专注，但手速快得不像在处理文档。更奇怪的是，只要有人接近会议室，他就会迅速切换屏幕。作为共同负责这个项目的同事，他的表现直接影响到你的绩效评估。截至目前，他提交的工作量明显低于预期，你不禁怀疑他是否在会议室里偷偷"摸鱼"。你思考着是否应该进一步调查这个神秘的会议室行为。	"最近项目挺有挑战的，我发现你好像有自己独特的工作方法，"你轻松地开场，递给他一杯刚泡好的咖啡。这种不带评判的好奇似乎触动了张晓，他的表情从警惕转为微微放松。"我只是喜欢安静的环境，更容易专注，"他解释道，并略带犹豫地补充："其实我在尝试一个优化算法，但不确定能否成功，所以还没跟大家分享。"对话持续了整个午休，你了解到他确实在钻研项目相关的技术难题，而非你最初怀疑的摸鱼。临走前，他甚至表示："如果你有兴趣，改天可以给你看看我的思路。"这次谈话打开了沟通的大门，为可能的合作奠定了基础。	"我注意到你经常自己待在会议室，"你尝试用随意的语气开场，却不慎流露出质疑，"项目进度如何？大家都挺好奇的。"张晓的表情立刻变得戒备，"我按时完成了分配的任务，难道有问题吗？"对话陷入尴尬，你解释自己只是关心项目，但他显然将你的询问视为不信任或监视。"我喜欢独立思考，不习惯随时被打扰，"他冷淡地回应，然后找借口离开了茶水间。接下来的几天，团队会议上他对你的发言保持礼貌但明显疏远的态度。你的直接询问不仅没有获取信息，反而筑起了一道无形的墙。		
